StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Eligibility,Result practice _1_x,Result practice _1_y,"Result practice ",S1PHA_1_x,S1PHA_1_y,"S1PHA - explanation ",S1NHA_1_x,S1NHA_1_y,S1B_1_x,S1B_1_y,S1PLA_1_x,S1PLA_1_y,S1NLA_1_x,S1NLA_1_y,S2PHA_1_x,S2PHA_1_y,S2NHA_1_x,S2NHA_1_y,"S2NHA - explanation ",S2B_1_x,S2B_1_y,S2PLA_1_x,S2PLA_1_y,S2NLA_1_x,S2NLA_1_y,S3PHA_1_x,S3PHA_1_y,S3NHA_1_x,S3NHA_1_y,S3B_1_x,S3B_1_y,S3PLA_1_x,S3PLA_1_y,S3NLA_1_x,S3NLA_1_y,"S3NLA - explanation ",S4PHA_1_x,S4PHA_1_y,S4NHA_1_x,S4NHA_1_y,S4B_1_x,S4B_1_y,S4NLA_1_x,S4NLA_1_y,S4PLA_1_x,S4PLA_1_y,"S4PLA - explanation ",Age,Gender,Gender_4_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you have any prior knowledge or experience with AI-generated images?,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - Regions,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Can you explain your answer?,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Can you explain your answer?,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Can you explain your answer?,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Which emotion best describes the image above? - 1 - X,Which emotion best describes the image above? - 1 - Y,Can you explain your answer?,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text
"{""ImportId"":""startDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35"",""point"":1,""coord"":""x""}","{""ImportId"":""QID35"",""point"":1,""coord"":""y""}","{""ImportId"":""QID35_REGIONS""}","{""ImportId"":""QID38"",""point"":1,""coord"":""x""}","{""ImportId"":""QID38"",""point"":1,""coord"":""y""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID42"",""point"":1,""coord"":""x""}","{""ImportId"":""QID42"",""point"":1,""coord"":""y""}","{""ImportId"":""QID44"",""point"":1,""coord"":""x""}","{""ImportId"":""QID44"",""point"":1,""coord"":""y""}","{""ImportId"":""QID46"",""point"":1,""coord"":""x""}","{""ImportId"":""QID46"",""point"":1,""coord"":""y""}","{""ImportId"":""QID48"",""point"":1,""coord"":""x""}","{""ImportId"":""QID48"",""point"":1,""coord"":""y""}","{""ImportId"":""QID50"",""point"":1,""coord"":""x""}","{""ImportId"":""QID50"",""point"":1,""coord"":""y""}","{""ImportId"":""QID52"",""point"":1,""coord"":""x""}","{""ImportId"":""QID52"",""point"":1,""coord"":""y""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID54"",""point"":1,""coord"":""x""}","{""ImportId"":""QID54"",""point"":1,""coord"":""y""}","{""ImportId"":""QID56"",""point"":1,""coord"":""x""}","{""ImportId"":""QID56"",""point"":1,""coord"":""y""}","{""ImportId"":""QID58"",""point"":1,""coord"":""x""}","{""ImportId"":""QID58"",""point"":1,""coord"":""y""}","{""ImportId"":""QID60"",""point"":1,""coord"":""x""}","{""ImportId"":""QID60"",""point"":1,""coord"":""y""}","{""ImportId"":""QID62"",""point"":1,""coord"":""x""}","{""ImportId"":""QID62"",""point"":1,""coord"":""y""}","{""ImportId"":""QID64"",""point"":1,""coord"":""x""}","{""ImportId"":""QID64"",""point"":1,""coord"":""y""}","{""ImportId"":""QID66"",""point"":1,""coord"":""x""}","{""ImportId"":""QID66"",""point"":1,""coord"":""y""}","{""ImportId"":""QID68"",""point"":1,""coord"":""x""}","{""ImportId"":""QID68"",""point"":1,""coord"":""y""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID70"",""point"":1,""coord"":""x""}","{""ImportId"":""QID70"",""point"":1,""coord"":""y""}","{""ImportId"":""QID72"",""point"":1,""coord"":""x""}","{""ImportId"":""QID72"",""point"":1,""coord"":""y""}","{""ImportId"":""QID74"",""point"":1,""coord"":""x""}","{""ImportId"":""QID74"",""point"":1,""coord"":""y""}","{""ImportId"":""QID78"",""point"":1,""coord"":""x""}","{""ImportId"":""QID78"",""point"":1,""coord"":""y""}","{""ImportId"":""QID76"",""point"":1,""coord"":""x""}","{""ImportId"":""QID76"",""point"":1,""coord"":""y""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID91_4_TEXT""}"
2024-11-04 16:07:33,2024-11-04 16:12:36,IP Address,145.118.248.158,100,302,True,2024-11-04 16:12:36,R_8qQdqI83UjgQVhS,,,,,52.17,4.4728,anonymous,EN,Yes,354,187,PHA,339,289,"Hands in pants, one leg up. just looks confident",327,339,192,274,435,271,338,365,307,190,268,285,all these colour schemes do not really evoke an emotion for me,194,273,431,346,260,252,313,115,324,129,234,247,248,249,156,201,This furniture looks whack,262,252,191,275,254,256,251,251,254,248,looks like a normal chair,25-34 years old,Male,
2024-11-04 16:28:45,2024-11-04 16:35:59,IP Address,94.134.109.93,100,434,True,2024-11-04 16:35:59,R_81NrGRIu7V2D4fX,,,,,53.6096,9.8975,anonymous,EN,Yes,367,69,PHA,426,220,,246,251,438,215,432,211,119,135,403,379,389,373,,398,379,251,249,399,372,410,375,406,375,395,378,409,374,407,373,,396,372,396,376,391,374,394,371,399,374,,25-34 years old,Male,
2024-11-04 16:41:23,2024-11-04 16:47:35,IP Address,83.86.174.190,100,372,True,2024-11-04 16:47:36,R_263Dyf9ESndr0OJ,,,,,52.1485,4.4844,anonymous,EN,Yes,364,80,PHA,327,301,,285,384,277,207,300,242,285,385,282,200,263,266,,257,252,275,197,254,269,285,221,278,325,294,181,358,242,284,378,,307,194,248,260,311,182,276,229,323,290,,25-34 years old,Prefer not to say,
2024-11-04 16:44:48,2024-11-04 16:59:13,IP Address,95.97.135.134,100,865,True,2024-11-04 16:59:14,R_8pDPow94rHJkpF7,,,,,52.3564,4.8802,anonymous,EN,Yes,399,79,PHA,263,113,"a lot of different elements grasping your attention, neat designs and proffesional looks",141,235,265,311,401,191,291,289,312,193,292,184,"Solid design, clear and structured overview",249,106,310,339,246,154,310,194,328,339,336,365,370,285,289,338,chill lounge vibes,345,256,280,201,211,276,384,174,404,379,bulky chill chair,25-34 years old,Male,
2024-11-04 16:59:22,2024-11-04 17:02:36,IP Address,109.38.151.100,100,193,True,2024-11-04 17:02:37,R_22tq9vohu4yrCHv,,,,,52.3746,4.8552,anonymous,EN,Yes,412,227,PHA,315,282,,163,227,260,242,227,214,194,267,249,198,250,282,,254,272,253,213,255,288,242,253,258,237,263,325,274,376,267,204,,256,269,246,268,272,295,249,240,253,221,,18-24 years old,Female,
2024-11-04 17:11:21,2024-11-04 17:17:49,IP Address,77.63.125.106,100,387,True,2024-11-04 17:17:50,R_2pYdwly2aD5Lgo9,,,,,51.9826,4.5728,anonymous,EN,Yes,415,166,PHA,172,159,"Too much info, stressing",146,285,251,256,254,252,218,308,254,187,313,206,Structure in colors and figure,258,324,254,182,254,251,413,246,183,252,424,246,354,248,342,248,Nice pics and colors,254,246,415,249,354,254,437,244,365,255,Nice comfy looking chair,18-24 years old,Male,
2024-11-04 17:22:16,2024-11-04 17:31:00,IP Address,31.161.203.107,100,524,True,2024-11-04 17:31:01,R_8oGAQ7wF2ZSRuo5,,,,,52.3759,4.8975,anonymous,EN,Yes,431,216,PHA,388,122,"Because the man wears a suit and looks confident ",307,135,385,388,405,274,96,278,330,246,251,246,Because it combines cold and warm colors,246,255,250,253,164,250,309,247,353,251,139,253,142,246,247,249,"I cannot sense the emotion expressed by the image ",353,211,315,250,345,195,162,250,341,191,The shape of the chair is soft and round,18-24 years old,Female,
2024-11-04 20:04:56,2024-11-04 20:13:21,IP Address,145.126.34.238,100,505,True,2024-11-04 20:13:22,R_2Hg7fjSikLW3IKl,,,,,52.2385,6.8706,anonymous,EN,Yes,423,207,PHA,306,374,a more serious scenario with a business touch,269,364,338,340,302,192,306,303,288,177,407,310,more modest,403,330,382,206,400,377,401,176,340,238,269,378,336,384,421,356,,279,337,434,284,310,165,367,402,371,405,,25-34 years old,Male,
